method,mean_abs_error,rms_error,samples
CTSVI_AD,0.000547420596105233,0.0007444794719634371,4001
ATSVI_AD,5.56141547544279e-07,6.512288147854814e-07,4001
ETSVI,7.013827442592498e-05,9.953532668153697e-05,4001
