method,mean_abs_error,rms_error,samples
CTSVI_AD,0.000547420596105233,0.0007444794719634371,4001
ATSVI_AD,5.56141547544279e-07,6.512288147854814e-07,4001
ETSVI,5.135056098735558e-05,9.347561450016554e-05,4001
