method,mean_abs_error,rms_error,samples
CTSVI_AD,1.3150879204865871e-06,1.6842940960863123e-06,4001
ATSVI_AD,9.601442686622792e-07,1.0622236571914217e-06,4001
ETSVI,1.791059793349152e-07,2.2063312387950905e-07,4001
